Reference	C1	C2	C3	IR1	IR2	IR3
ENST00000368567	54.0	41.0	42.0	34.0	25.0	0.0
ENST00000331825	40.0	36.0	42.0	34.0	39.0	33.0
ENST00000316292	40.0	46.0	42.0	48.0	40.0	41.0
ENST00000273550	38.0	36.0	35.0	41.0	33.0	6.0
ENST00000530705	32.0	32.0	34.0	21.0	31.0	29.0
ENST00000260379	30.0	21.0	22.0	19.0	21.0	21.0
ENST00000245458	29.0	31.0	12.0	21.0	24.0	18.0
ENST00000624069	29.0	27.0	19.0	26.0	25.0	16.0
ENST00000362079	28.0	31.0	27.0	36.0	29.0	26.0
ENST00000451311	27.0	32.0	36.0	25.0	24.0	23.0
ENST00000274242	25.0	12.0	11.0	19.0	10.0	14.0
ENST00000358888	24.0	30.0	0.0	0.0	0.0	0.0
ENST00000482370	24.0	13.0	10.0	17.0	16.0	26.0
ENST00000344746	24.0	18.0	16.0	16.0	16.0	20.0
ENST00000558401	23.0	30.0	24.0	32.0	25.0	26.0
ENST00000477055	23.0	0.0	19.0	0.0	0.0	27.0
ENST00000322989	23.0	21.0	20.0	26.0	13.0	23.0
ENST00000617605	23.0	30.0	24.0	32.0	25.0	26.0
ENST00000287038	22.0	25.0	14.0	16.0	16.0	13.0
ENST00000272317	22.0	20.0	19.0	10.0	19.0	10.0
ENST00000600213	21.0	24.0	22.0	24.0	20.0	15.0
ENST00000311528	21.0	21.0	19.0	27.0	0.0	31.0
ENST00000491306	21.0	15.0	8.0	15.0	11.0	15.0
ENST00000319826	20.0	18.0	11.0	13.0	11.0	15.0
ENST00000343262	20.0	23.0	0.0	15.0	16.0	0.0
ENST00000230050	20.0	18.0	26.0	11.0	16.0	19.0
ENST00000598742	19.0	17.0	10.0	29.0	20.0	32.0
ENST00000394668	19.0	16.0	15.0	18.0	20.0	22.0
ENST00000401695	19.0	18.0	20.0	19.0	10.0	1.0
ENST00000344063	18.0	11.0	10.0	15.0	12.0	12.0
ENST00000233143	18.0	8.0	6.0	12.0	11.0	12.0
ENST00000326199	18.0	16.0	9.0	14.0	0.0	0.0
ENST00000222247	18.0	25.0	0.0	15.0	28.0	21.0
ENST00000594493	17.0	27.0	13.0	19.0	13.0	10.0
ENST00000264258	17.0	19.0	19.0	11.0	18.0	22.0
ENST00000393394	17.0	0.0	0.0	0.0	0.0	0.0
ENST00000380394	16.0	14.0	20.0	13.0	15.0	14.0
ENST00000579260	16.0	10.0	13.0	10.0	16.0	9.0
ENST00000361739	16.0	17.0	10.0	28.0	15.0	8.0
ENST00000343986	16.0	18.0	15.0	12.0	17.0	7.0
ENST00000429711	16.0	18.0	15.0	17.0	13.0	10.0
ENST00000361381	16.0	12.0	19.0	7.0	3.0	6.0
ENST00000582556	15.0	0.0	0.0	0.0	0.0	0.0
ENST00000361227	15.0	6.0	8.0	26.0	15.0	8.0
ENST00000536684	15.0	16.0	8.0	20.0	17.0	10.0
ENST00000321153	15.0	13.0	16.0	24.0	16.0	24.0
ENST00000600659	15.0	16.0	10.0	8.0	6.0	12.0
ENST00000361390	14.0	6.0	9.0	8.0	11.0	8.0
ENST00000311111	14.0	12.0	9.0	12.0	7.0	8.0
ENST00000314138	14.0	20.0	17.0	10.0	13.0	21.0
ENST00000335295	13.0	6.0	0.0	28.0	0.0	14.0
ENST00000274065	13.0	15.0	13.0	0.0	22.0	15.0
ENST00000545075	13.0	5.0	4.0	3.0	7.0	6.0
ENST00000353334	13.0	12.0	15.0	10.0	15.0	14.0
ENST00000009589	13.0	13.0	15.0	10.0	13.0	16.0
ENST00000361789	12.0	11.0	11.0	15.0	8.0	10.0
ENST00000422514	12.0	21.0	18.0	20.0	16.0	9.0
ENST00000479035	12.0	16.0	12.0	10.0	11.0	9.0
ENST00000307839	12.0	6.0	6.0	13.0	1.0	8.0
ENST00000464167	12.0	11.0	1.0	13.0	11.0	8.0
ENST00000253788	12.0	0.0	0.0	14.0	7.0	0.0
ENST00000296674	12.0	15.0	14.0	14.0	13.0	7.0
ENST00000361453	11.0	10.0	8.0	7.0	4.0	7.0
ENST00000531188	11.0	15.0	13.0	22.0	11.0	13.0
ENST00000468844	11.0	0.0	10.0	19.0	23.0	0.0
ENST00000485390	11.0	16.0	12.0	12.0	12.0	13.0
ENST00000216146	11.0	9.0	11.0	14.0	13.0	9.0
ENST00000361899	11.0	18.0	8.0	12.0	13.0	15.0
ENST00000435618	11.0	11.0	7.0	10.0	18.0	10.0
ENST00000251595	11.0	0.0	0.0	0.0	0.0	0.0
ENST00000251453	11.0	9.0	11.0	15.0	15.0	8.0
ENST00000261267	10.0	10.0	8.0	8.0	11.0	12.0
ENST00000338970	10.0	3.0	5.0	4.0	8.0	7.0
ENST00000549920	10.0	14.0	9.0	10.0	12.0	6.0
ENST00000316084	10.0	10.0	12.0	12.0	1.0	11.0
ENST00000525634	10.0	11.0	8.0	0.0	0.0	9.0
ENST00000352983	10.0	10.0	0.0	0.0	9.0	7.0
ENST00000464112	10.0	6.0	12.0	6.0	8.0	6.0
ENST00000361436	9.0	13.0	8.0	10.0	5.0	8.0
ENST00000512805	9.0	4.0	4.0	3.0	10.0	3.0
ENST00000370321	9.0	5.0	5.0	4.0	11.0	2.0
ENST00000409115	9.0	9.0	4.0	6.0	0.0	6.0
ENST00000577910	9.0	0.0	3.0	0.0	14.0	0.0
ENST00000353047	8.0	8.0	9.0	4.0	4.0	0.0
ENST00000383127	8.0	0.0	0.0	0.0	4.0	0.0
ENST00000419783	8.0	2.0	5.0	6.0	4.0	4.0
ENST00000381359	8.0	0.0	0.0	0.0	0.0	0.0
ENST00000243997	8.0	1.0	2.0	2.0	3.0	5.0
ENST00000331789	8.0	11.0	11.0	11.0	7.0	13.0
ENST00000368738	7.0	7.0	5.0	7.0	1.0	7.0
ENST00000628770	7.0	5.0	7.0	13.0	5.0	3.0
ENST00000527673	7.0	5.0	7.0	0.0	5.0	3.0
ENST00000427805	7.0	10.0	6.0	6.0	5.0	8.0
ENST00000551150	7.0	9.0	8.0	5.0	5.0	7.0
ENST00000262584	7.0	8.0	5.0	10.0	9.0	6.0
ENST00000420206	7.0	2.0	9.0	0.0	3.0	0.0
ENST00000549775	7.0	3.0	1.0	1.0	2.0	3.0
ENST00000601521	7.0	4.0	8.0	6.0	9.0	6.0
ENST00000394936	6.0	6.0	3.0	4.0	6.0	9.0
ENST00000529639	6.0	11.0	12.0	2.0	8.0	6.0
ENST00000302907	6.0	5.0	5.0	5.0	5.0	6.0
ENST00000416883	6.0	0.0	0.0	0.0	0.0	0.0
ENST00000614737	6.0	5.0	5.0	5.0	5.0	6.0
ENST00000442744	6.0	9.0	8.0	10.0	9.0	6.0
ENST00000540040	6.0	4.0	2.0	3.0	4.0	1.0
ENST00000496817	6.0	2.0	1.0	7.0	2.0	2.0
ENST00000368732	6.0	0.0	0.0	9.0	0.0	0.0
ENST00000450871	6.0	2.0	5.0	2.0	2.0	2.0
ENST00000593731	6.0	5.0	11.0	16.0	12.0	14.0
ENST00000301821	6.0	9.0	8.0	7.0	6.0	7.0
ENST00000435275	6.0	9.0	8.0	7.0	6.0	5.0
ENST00000587837	5.0	3.0	0.0	4.0	0.0	5.0
ENST00000234875	5.0	6.0	3.0	5.0	3.0	0.0
ENST00000273258	5.0	0.0	0.0	2.0	0.0	0.0
ENST00000307961	5.0	4.0	4.0	4.0	7.0	7.0
ENST00000546591	5.0	0.0	17.0	21.0	24.0	17.0
ENST00000323345	5.0	6.0	5.0	3.0	2.0	4.0
ENST00000466397	5.0	11.0	7.0	5.0	4.0	7.0
ENST00000462576	5.0	9.0	6.0	5.0	5.0	3.0
ENST00000630979	5.0	6.0	5.0	3.0	2.0	4.0
ENST00000577222	5.0	6.0	9.0	0.0	0.0	10.0
ENST00000225831	5.0	1.0	5.0	2.0	3.0	4.0
ENST00000361624	5.0	5.0	6.0	13.0	7.0	7.0
ENST00000602676	5.0	5.0	5.0	4.0	2.0	6.0
ENST00000318607	5.0	3.0	7.0	3.0	1.0	4.0
ENST00000424576	5.0	5.0	9.0	4.0	5.0	9.0
ENST00000559123	5.0	0.0	0.0	2.0	0.0	0.0
ENST00000356464	4.0	9.0	4.0	6.0	10.0	4.0
ENST00000457879	4.0	3.0	2.0	3.0	4.0	1.0
ENST00000298289	4.0	0.0	1.0	5.0	2.0	1.0
ENST00000416943	4.0	1.0	0.0	0.0	2.0	4.0
ENST00000549117	4.0	0.0	3.0	0.0	4.0	4.0
ENST00000396634	4.0	3.0	2.0	2.0	0.0	0.0
ENST00000271638	4.0	4.0	3.0	5.0	2.0	5.0
ENST00000378565	4.0	3.0	2.0	3.0	2.0	2.0
ENST00000562336	4.0	0.0	0.0	3.0	2.0	2.0
ENST00000536769	4.0	8.0	3.0	1.0	6.0	4.0
ENST00000412585	4.0	8.0	7.0	2.0	3.0	5.0
ENST00000408968	4.0	1.0	0.0	1.0	2.0	2.0
ENST00000296028	4.0	3.0	2.0	4.0	3.0	5.0
ENST00000555619	4.0	2.0	2.0	0.0	4.0	0.0
ENST00000359856	4.0	3.0	1.0	0.0	1.0	0.0
ENST00000229239	4.0	5.0	6.0	0.0	5.0	6.0
ENST00000487431	4.0	6.0	10.0	10.0	7.0	0.0
ENST00000466254	4.0	4.0	5.0	1.0	3.0	3.0
ENST00000302386	4.0	0.0	3.0	1.0	2.0	1.0
ENST00000560229	4.0	6.0	6.0	5.0	7.0	3.0
ENST00000368716	4.0	0.0	0.0	0.0	0.0	0.0
ENST00000496634	4.0	5.0	8.0	5.0	5.0	2.0
ENST00000287022	4.0	3.0	0.0	1.0	5.0	1.0
ENST00000592623	4.0	10.0	9.0	9.0	6.0	8.0
ENST00000342669	4.0	1.0	0.0	1.0	0.0	1.0
ENST00000225655	4.0	3.0	6.0	2.0	4.0	4.0
ENST00000617497	4.0	7.0	2.0	4.0	3.0	4.0
ENST00000392222	4.0	5.0	4.0	4.0	1.0	7.0
ENST00000633731	4.0	6.0	6.0	5.0	7.0	3.0
ENST00000327857	4.0	0.0	1.0	4.0	0.0	1.0
ENST00000216479	3.0	1.0	0.0	0.0	0.0	0.0
ENST00000425053	3.0	1.0	1.0	0.0	1.0	2.0
ENST00000565677	3.0	0.0	1.0	0.0	0.0	0.0
ENST00000320857	3.0	0.0	0.0	1.0	0.0	2.0
ENST00000433866	3.0	0.0	2.0	0.0	1.0	0.0
ENST00000361099	3.0	0.0	1.0	1.0	0.0	1.0
ENST00000263864	3.0	0.0	0.0	3.0	1.0	0.0
ENST00000221466	3.0	1.0	1.0	1.0	1.0	1.0
ENST00000621421	3.0	0.0	1.0	1.0	0.0	1.0
ENST00000368046	3.0	2.0	1.0	2.0	2.0	1.0
ENST00000334701	3.0	1.0	1.0	1.0	0.0	0.0
ENST00000262746	3.0	1.0	0.0	1.0	0.0	1.0
ENST00000246802	3.0	0.0	6.0	4.0	2.0	3.0
ENST00000543510	3.0	0.0	1.0	0.0	0.0	0.0
ENST00000361681	3.0	0.0	3.0	0.0	3.0	0.0
ENST00000236671	3.0	3.0	3.0	9.0	4.0	3.0
ENST00000523483	3.0	2.0	3.0	2.0	1.0	0.0
ENST00000591462	3.0	0.0	0.0	1.0	0.0	0.0
ENST00000316448	3.0	2.0	0.0	2.0	2.0	1.0
ENST00000614252	3.0	0.0	1.0	0.0	1.0	0.0
ENST00000463900	3.0	0.0	0.0	0.0	1.0	0.0
ENST00000442011	3.0	2.0	0.0	0.0	2.0	4.0
ENST00000575842	3.0	0.0	4.0	3.0	1.0	3.0
ENST00000551018	3.0	4.0	0.0	5.0	3.0	4.0
ENST00000309311	3.0	2.0	5.0	1.0	1.0	3.0
ENST00000381401	3.0	1.0	1.0	1.0	1.0	2.0
ENST00000314133	3.0	2.0	0.0	1.0	1.0	1.0
ENST00000469257	3.0	1.0	2.0	1.0	1.0	3.0
ENST00000233575	3.0	0.0	1.0	0.0	0.0	0.0
ENST00000356607	3.0	0.0	0.0	0.0	0.0	0.0
ENST00000376259	3.0	0.0	0.0	0.0	0.0	0.0
ENST00000307407	3.0	2.0	3.0	0.0	2.0	1.0
ENST00000215754	3.0	1.0	0.0	1.0	1.0	0.0
ENST00000311223	3.0	0.0	0.0	3.0	0.0	1.0
ENST00000398576	3.0	1.0	2.0	4.0	3.0	2.0
ENST00000270792	3.0	5.0	0.0	2.0	2.0	8.0
ENST00000356769	3.0	0.0	3.0	5.0	0.0	3.0
ENST00000464595	3.0	7.0	4.0	4.0	5.0	8.0
ENST00000296953	3.0	0.0	0.0	0.0	0.0	0.0
ENST00000406638	3.0	0.0	0.0	1.0	0.0	0.0
ENST00000254810	3.0	2.0	2.0	2.0	3.0	1.0
ENST00000379153	3.0	0.0	0.0	0.0	0.0	0.0
ENST00000294507	3.0	0.0	4.0	4.0	5.0	4.0
ENST00000284727	3.0	0.0	0.0	1.0	0.0	0.0
ENST00000525451	3.0	5.0	2.0	4.0	2.0	2.0
ENST00000366815	3.0	5.0	3.0	5.0	0.0	0.0
ENST00000184266	3.0	0.0	1.0	0.0	1.0	1.0
ENST00000613839	3.0	1.0	0.0	1.0	1.0	0.0
ENST00000372397	3.0	0.0	3.0	0.0	0.0	0.0
ENST00000266735	2.0	1.0	0.0	0.0	0.0	0.0
ENST00000303204	2.0	0.0	1.0	0.0	2.0	1.0
ENST00000302182	2.0	3.0	1.0	0.0	1.0	1.0
ENST00000370282	2.0	1.0	0.0	0.0	0.0	1.0
ENST00000395422	2.0	0.0	2.0	0.0	1.0	0.0
ENST00000340990	2.0	0.0	2.0	1.0	1.0	0.0
ENST00000368865	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000479209	2.0	2.0	2.0	1.0	1.0	2.0
ENST00000217652	2.0	1.0	1.0	1.0	3.0	1.0
ENST00000225792	2.0	2.0	1.0	0.0	0.0	0.0
ENST00000256216	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000248071	2.0	1.0	0.0	1.0	0.0	1.0
ENST00000322723	2.0	0.0	1.0	0.0	0.0	0.0
ENST00000589297	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000520468	2.0	1.0	0.0	0.0	1.0	2.0
ENST00000303577	2.0	1.0	1.0	1.0	1.0	0.0
ENST00000602094	2.0	0.0	0.0	0.0	2.0	1.0
ENST00000378438	2.0	0.0	1.0	0.0	1.0	1.0
ENST00000272163	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000234091	2.0	0.0	2.0	0.0	1.0	0.0
ENST00000379542	2.0	0.0	0.0	1.0	0.0	0.0
ENST00000289902	2.0	3.0	4.0	1.0	1.0	1.0
ENST00000328703	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000437784	2.0	2.0	3.0	3.0	6.0	4.0
